======================================================================
SIMPLECNN (BASELINE) TRAINING METRICS SUMMARY
======================================================================

Final Results:
----------------------------------------------------------------------
Best Validation Accuracy: 76.18%
Final Training Accuracy: 76.25%
Final Validation Accuracy: 76.18%
Final Training Loss: 0.6489
Final Validation Loss: 0.7223
Total Epochs Trained: 50

======================================================================
EPOCH-BY-EPOCH METRICS
======================================================================
Epoch    Train Loss     Train Acc (%)  Val Loss       Val Acc (%)   
----------------------------------------------------------------------
1        2.7334         23.21          1.6544         28.53         
2        1.6221         32.86          1.4981         38.85         
3        1.5146         37.27          1.3676         44.16         
4        1.4369         41.57          1.5273         35.66         
5        1.4454         39.40          1.3109         47.65         
6        1.4309         40.58          1.4846         38.24         
7        1.4033         42.48          1.2843         48.86         
8        1.3928         42.48          1.3371         46.28         
9        1.3385         45.33          1.2249         53.41         
10       1.3070         47.91          1.2002         53.57         
11       1.3104         46.09          1.3141         45.98         
12       1.2573         49.24          1.2553         54.17         
13       1.2400         50.04          1.1792         55.69         
14       1.2435         50.68          1.1684         54.48         
15       1.2244         51.75          1.1813         54.63         
16       1.2217         52.55          1.1131         58.57         
17       1.1909         52.85          1.0889         61.15         
18       1.1604         53.12          1.1494         57.66         
19       1.1399         54.90          1.0729         61.00         
20       1.1220         54.86          1.0331         59.18         
21       1.1067         56.00          1.0176         63.43         
22       1.0809         57.10          1.0190         64.95         
23       1.0421         58.51          0.9729         64.80         
24       1.0399         59.54          0.9548         64.49         
25       0.9987         59.92          0.9556         66.77         
26       0.9491         63.72          0.9371         66.62         
27       0.9625         62.84          0.9543         66.46         
28       0.9426         64.17          0.9365         66.16         
29       0.9067         65.92          0.8893         70.56         
30       0.9019         66.41          0.8625         69.65         
31       0.8751         67.67          0.8466         69.35         
32       0.8445         68.92          0.8897         67.53         
33       0.8691         67.52          0.8706         69.80         
34       0.8680         67.67          0.9035         69.80         
35       0.7990         70.63          0.8028         71.47         
36       0.8081         70.59          0.8094         71.47         
37       0.8331         68.66          0.8171         70.86         
38       0.7568         71.24          0.8546         71.17         
39       0.7895         71.28          0.8467         71.02         
40       0.7599         71.66          0.7654         72.99         
41       0.7228         72.76          0.7890         72.53         
42       0.7424         73.18          0.7651         73.29         
43       0.7256         73.52          0.8012         71.17         
44       0.7000         74.51          0.8245         72.23         
45       0.7464         72.15          0.7581         75.87         
46       0.7034         74.58          0.7572         75.27         
47       0.7081         74.01          0.7386         76.18         
48       0.6960         73.44          0.7457         73.44         
49       0.6246         76.60          0.7473         74.66         
50       0.6489         76.25          0.7223         76.18         
