======================================================================
RESNET-50 (TRANSFER LEARNING) TRAINING METRICS SUMMARY
======================================================================

Pre-training: ImageNet
Backbone: Frozen 

Final Results:
----------------------------------------------------------------------
Best Validation Accuracy: 89.23%
Final Training Accuracy: 85.71%
Final Validation Accuracy: 88.32%
Final Training Loss: 0.4515
Final Validation Loss: 0.3992
Total Epochs Trained: 50

======================================================================
EPOCH-BY-EPOCH METRICS
======================================================================
Epoch    Train Loss     Train Acc (%)  Val Loss       Val Acc (%)   
----------------------------------------------------------------------
1        1.7094         31.53          1.5830         56.45         
2        1.5106         57.67          1.4028         71.32         
3        1.3527         67.67          1.2504         77.54         
4        1.2254         73.67          1.1419         78.00         
5        1.1414         73.18          1.0456         81.79         
6        1.0515         75.84          0.9881         80.27         
7        0.9842         78.42          0.9193         81.34         
8        0.9291         79.33          0.8573         83.00         
9        0.8796         79.29          0.7983         83.00         
10       0.8436         78.95          0.7607         83.92         
11       0.8070         81.50          0.7402         83.92         
12       0.7910         80.28          0.7193         83.46         
13       0.7524         80.81          0.6783         83.92         
14       0.7338         80.62          0.6559         84.22         
15       0.7149         81.16          0.6429         85.74         
16       0.6877         81.95          0.6257         84.22         
17       0.6793         81.27          0.6092         84.83         
18       0.6559         83.05          0.5880         84.67         
19       0.6447         82.67          0.5762         85.89         
20       0.6243         83.24          0.5666         85.13         
21       0.6097         83.36          0.5460         85.89         
22       0.6167         82.52          0.5450         85.58         
23       0.5982         82.90          0.5239         86.04         
24       0.5904         82.71          0.5280         85.58         
25       0.5899         83.05          0.5164         85.89         
26       0.5768         83.47          0.5118         85.74         
27       0.5708         83.59          0.4952         86.80         
28       0.5434         84.46          0.4994         85.89         
29       0.5548         84.61          0.4888         87.25         
30       0.5420         83.85          0.4730         86.65         
31       0.5532         84.08          0.4867         86.34         
32       0.5226         84.65          0.4682         87.10         
33       0.5208         84.50          0.4554         87.71         
34       0.5199         84.23          0.4456         87.86         
35       0.5099         85.07          0.4479         87.41         
36       0.5149         84.00          0.4497         86.80         
37       0.4998         84.99          0.4386         88.16         
38       0.5013         85.30          0.4419         87.25         
39       0.5022         84.88          0.4344         87.41         
40       0.4908         86.06          0.4225         87.56         
41       0.4701         86.55          0.4286         88.16         
42       0.4870         85.07          0.4191         88.77         
43       0.4752         85.41          0.4157         87.86         
44       0.4709         86.17          0.4128         89.23         
45       0.4655         86.13          0.4183         87.71         
46       0.4740         85.22          0.4167         88.47         
47       0.4715         85.45          0.4193         87.10         
48       0.4650         85.87          0.4080         88.47         
49       0.4457         85.87          0.4074         87.71         
50       0.4515         85.71          0.3992         88.32         
