======================================================================
EFFICIENTNET-B3 (TRANSFER LEARNING) TRAINING METRICS SUMMARY
======================================================================

Final Results:
----------------------------------------------------------------------
Best Validation Accuracy: 91.50%
Final Training Accuracy: 84.88%
Final Validation Accuracy: 91.50%
Final Training Loss: 0.4867
Final Validation Loss: 0.3870
Total Epochs Trained: 50

======================================================================
EPOCH-BY-EPOCH METRICS
======================================================================
Epoch    Train Loss     Train Acc (%)  Val Loss       Val Acc (%)   
----------------------------------------------------------------------
1        1.6868         35.03          1.5672         59.48         
2        1.4818         62.35          1.3731         77.54         
3        1.3287         70.86          1.2257         83.61         
4        1.1935         75.19          1.1087         85.74         
5        1.0900         78.23          1.0022         87.10         
6        1.0281         77.28          0.9321         87.56         
7        0.9543         79.29          0.8649         88.16         
8        0.8965         80.05          0.8000         87.86         
9        0.8572         81.12          0.7716         88.62         
10       0.8137         80.40          0.7056         88.62         
11       0.7841         81.08          0.6880         89.07         
12       0.7373         81.91          0.6692         88.62         
13       0.7116         82.56          0.6361         89.23         
14       0.7033         82.14          0.6059         89.23         
15       0.7013         82.07          0.5891         89.68         
16       0.6683         82.48          0.5736         89.68         
17       0.6564         82.64          0.5642         89.23         
18       0.6285         84.46          0.5432         89.07         
19       0.6255         82.41          0.5373         89.53         
20       0.6096         83.59          0.5128         90.14         
21       0.5955         84.00          0.5101         89.98         
22       0.5891         83.40          0.4999         89.68         
23       0.5889         82.90          0.4912         89.98         
24       0.5549         84.65          0.4713         90.14         
25       0.5668         83.51          0.4812         89.68         
26       0.5423         85.33          0.4652         90.44         
27       0.5578         83.51          0.4467         90.74         
28       0.5388         84.19          0.4457         89.83         
29       0.5587         83.17          0.4400         90.14         
30       0.5450         83.89          0.4387         89.98         
31       0.5369         83.70          0.4312         90.14         
32       0.5242         84.42          0.4305         90.59         
33       0.5267         84.50          0.4205         90.59         
34       0.5012         85.07          0.4309         90.44         
35       0.5257         83.85          0.4086         90.90         
36       0.5075         84.65          0.4120         89.98         
37       0.5155         83.59          0.4103         90.14         
38       0.5010         85.03          0.4072         90.44         
39       0.4902         84.73          0.4097         89.98         
40       0.5011         85.07          0.4109         90.59         
41       0.4985         84.38          0.4053         90.29         
42       0.4771         85.64          0.3985         91.05         
43       0.4994         84.38          0.3982         90.90         
44       0.4848         85.11          0.3970         90.29         
45       0.4908         85.45          0.4111         90.44         
46       0.5091         83.70          0.4063         90.59         
47       0.5003         85.18          0.4030         90.29         
48       0.4920         84.84          0.3943         90.74         
49       0.4845         85.60          0.3945         90.44         
50       0.4867         84.88          0.3870         91.50         
