======================================================================
RESNET-50 (TRANSFER LEARNING) TRAINING METRICS SUMMARY
======================================================================

Pre-training: ImageNet
Backbone: Frozen (only final layers trained)

Final Results:
----------------------------------------------------------------------
Best Validation Accuracy: 88.01%
Final Training Accuracy: 84.99%
Final Validation Accuracy: 86.80%
Final Training Loss: 0.4496
Final Validation Loss: 0.3932
Total Epochs Trained: 50

======================================================================
EPOCH-BY-EPOCH METRICS
======================================================================
Epoch    Train Loss     Train Acc (%)  Val Loss       Val Acc (%)   
----------------------------------------------------------------------
1        1.7080         33.40          1.5712         58.27         
2        1.4995         56.42          1.3937         69.04         
3        1.3389         67.93          1.2482         74.05         
4        1.2164         73.10          1.1243         76.33         
5        1.1194         75.57          1.0389         76.48         
6        1.0387         75.57          0.9585         79.21         
7        0.9723         76.41          0.8911         79.36         
8        0.9186         78.19          0.8381         80.42         
9        0.8708         78.84          0.7955         80.58         
10       0.8276         80.17          0.7497         82.40         
11       0.7977         79.14          0.7302         81.49         
12       0.7703         80.32          0.6933         82.85         
13       0.7390         81.72          0.6826         82.40         
14       0.7353         79.52          0.6505         83.31         
15       0.6983         80.97          0.6312         83.92         
16       0.6821         81.04          0.6174         83.46         
17       0.6591         81.76          0.5898         84.22         
18       0.6419         82.45          0.5938         84.37         
19       0.6316         82.98          0.5686         84.52         
20       0.6207         82.71          0.5528         84.52         
21       0.6096         83.40          0.5324         85.13         
22       0.5934         83.05          0.5306         85.89         
23       0.5797         82.90          0.5293         84.83         
24       0.5747         83.97          0.5173         85.74         
25       0.5653         83.59          0.5005         85.43         
26       0.5553         83.74          0.4880         85.89         
27       0.5593         83.21          0.5011         86.04         
28       0.5363         85.03          0.4901         84.83         
29       0.5415         84.04          0.4734         86.19         
30       0.5312         84.12          0.4670         85.89         
31       0.5289         83.97          0.4684         86.95         
32       0.5131         84.23          0.4534         86.49         
33       0.5203         84.08          0.4570         85.43         
34       0.5198         84.35          0.4527         87.25         
35       0.5071         84.19          0.4336         87.56         
36       0.4977         84.92          0.4367         87.10         
37       0.4939         85.11          0.4298         87.25         
38       0.4962         84.50          0.4325         86.80         
39       0.4787         84.88          0.4177         87.71         
40       0.4812         84.46          0.4225         86.49         
41       0.4750         84.38          0.4190         87.56         
42       0.4756         85.33          0.4291         86.95         
43       0.4638         84.69          0.4144         87.86         
44       0.4556         85.79          0.4110         87.86         
45       0.4654         85.87          0.4135         87.25         
46       0.4664         85.64          0.3992         87.10         
47       0.4532         85.64          0.3930         88.01         
48       0.4427         86.66          0.4060         87.71         
49       0.4396         85.75          0.3964         88.01         
50       0.4496         84.99          0.3932         86.80         
